lot_number,site,auction_date,auction_time,maker,model,year,chassis_id,grade,transmission,cc,color,mileage,point,sold_price,avg_price_predicted_ru,avg_price_predicted_hex
"4564","arai aa oyama v/t","2026-02-07","16:20","ISUZU","ISUZU GIGA","2007","CXZ51K6","DUMP","F7","14250","ACTUAL VEHICLE","808000","3","0","1382000","#51b0df"
"1839","arai aa oyama v/t","2026-02-07","16:19","ISUZU","ISUZU ELF","2018","NJR85AD","Dump","F5","0","WHITE","99000","R","0","0","#000000"
"82168","arai aa oyama v/t","2026-02-07","16:19","TOYOTA","TOYOTA OTHER","2008","XZU354H","ｺｳｼｮｻ Key ﾞｮｳ","F5","4000","OTHER","131000","0","0","0","#000000"
"82165","arai aa oyama v/t","2026-02-07","16:19","ISUZU","ISUZU ELF","2012","NPR85AN","ｼｬ-ｼ","F6","3000","WHITE","160000","0","0","455000","#eed649"
"1844","arai aa oyama v/t","2026-02-07","16:19","ISUZU","ISUZU ELF","1998","NKR66EA","Gila","F5","4330","OTHER","468000","R","0","0","#000000"
"82180","arai aa oyama v/t","2026-02-07","16:19","ISUZU","ISUZU ELF","2014","NMR85AN","Aluminum Van","F6","2990","OTHER","598000","0","0","369000","#51b0df"
"4562","arai aa oyama v/t","2026-02-07","16:19","ISUZU","ISUZU GIGA","2012","CXZ77AT","DUMP","F7","9830","ACTUAL VEHICLE","717000","3.5","0","2002000","#51b0df"
"4535","arai aa oyama v/t","2026-02-07","16:19","ISUZU","ISUZU GIGA","2015","CXZ77AT","DUMP","F7","9830","ACTUAL VEHICLE","881000","3","0","2898000","#eed649"
"82169","arai aa oyama v/t","2026-02-07","16:19","MITSUBISHI","MITSUBISHI CANTER","1998","FE638E","Gila","F6","4560","OTHER","988000","0","0","0","#000000"
"4563","arai aa oyama v/t","2026-02-07","16:18","HINO","HINO PROFIA","2011","FW1EXBG","Aluminum ｳｲﾝｸﾞ","ﾄｸS","12910","OTHER","0","","0","802000","#eed649"
"1835","arai aa oyama v/t","2026-02-07","16:18","MITSUBISHI","MITSUBISHI CANTER","2008","FE72B","WCab","I5","3000","OTHER","129000","R","0","0","#000000"
"1837","arai aa oyama v/t","2026-02-07","16:18","MAZDA","MAZDA TITAN","2000","WHF5D","Dump","F5","4020","OTHER","251000","R","0","771000","#ff9c33"
"1842","arai aa oyama v/t","2026-02-07","16:18","MITSUBISHI","MITSUBISHI CANTER","2011","FEB90","ﾀﾝｸ","I5","2990","OTHER","313000","3.5","0","714000","#51b0df"
"4533","arai aa oyama v/t","2026-02-07","16:18","ISUZU","ISUZU GIGA","2014","CYJ77A","CHILLING REFRIGERATOR WING","F7","9830","ACTUAL VEHICLE","650000","3","0","1668000","#73aa00"
"4572","arai aa oyama v/t","2026-02-07","16:18","HINO","HINO PROFIA","2007","FS1EPYA","ｺﾝﾃﾅｾﾝﾖｳｱ-ﾑ Low -ﾙ","F7","12910","OTHER","787000","3","0","1600000","#eed649"
"4560","arai aa oyama v/t","2026-02-07","16:18","ISUZU","ISUZU GIGA","2005","EXD52D3","TRACTOR HEAD","F7","15680","ACTUAL VEHICLE","886000","3","0","2630000","#ff9c33"
"1868","arai aa oyama v/t","2026-02-07","16:17","TOYOTA","TOYOTA TOWN ACE TRUCK","2019","S402U","Gila","IAT","1500","OTHER","35000","R","0","0","#000000"
"82164","arai aa oyama v/t","2026-02-07","16:17","MITSUBISHI","MITSUBISHI CANTER","2015","FGA20","ｼｬ-ｼ","ﾄｸS","2990","OTHER","205000","0","0","235000","#ff9c33"
"1833","arai aa oyama v/t","2026-02-07","16:17","MITSUBISHI","MITSUBISHI CANTER","2005","FE71BBD","Dump","I5","2970","OTHER","231000","R","0","697000","#eed649"
"82161","arai aa oyama v/t","2026-02-07","16:17","ISUZU","ISUZU ELF","1995","NPR66LVN","","MT","4330","OTHER","459000","0","0","0","#000000"
"82163","arai aa oyama v/t","2026-02-07","16:16","NISSAN","NISSAN ATLAS","1996","SN6F23","Gila","F5","2490","OTHER","123000","0","0","0","#000000"
"1838","arai aa oyama v/t","2026-02-07","16:16","ISUZU","ISUZU ELF","1987","NKR58LR","Gila . Crane 3 Dan","F5","3630","OTHER","136000","R","0","0","#000000"
"4531","arai aa oyama v/t","2026-02-07","16:16","ISUZU","ISUZU GIGA","1997","CYM81V2W","ALUMINIUM WING","MT","19000","ACTUAL VEHICLE","144000","R","0","0","#000000"
"82162","arai aa oyama v/t","2026-02-07","16:16","MITSUBISHI","MITSUBISHI CANTER","1996","FG507BD","Dump","F5","4210","OTHER","193000","0","0","0","#000000"
"82157","arai aa oyama v/t","2026-02-07","16:16","ISUZU","ISUZU ELF","2013","NJS85AN","ﾚｲｿﾞｳﾚｲﾄｳ","ﾄｸS","2990","OTHER","374000","0","0","0","#000000"
"4559","arai aa oyama v/t","2026-02-07","16:16","NISSAN","NISSAN QUON","2016","GK5XAB","Tractor","ﾄｸS","10830","OTHER","783000","3","0","1230000","#eed649"
"1829","arai aa oyama v/t","2026-02-07","16:15","MITSUBISHI","MITSUBISHI CANTER","1995","FE638E","Gila . Crane 4 Dan","F5","4560","OTHER","24000","3.5","0","0","#000000"
"82159","arai aa oyama v/t","2026-02-07","16:15","MITSUBISHI","MITSUBISHI CANTER","1988","FE300Bｶｲ","","F5","2650","OTHER","89000","0","0","0","#000000"
"1865","arai aa oyama v/t","2026-02-07","16:15","HINO","HINO DUTRO","2004","XZU312T","Dump","F5","4610","OTHER","89000","3","0","0","#000000"
"82155","arai aa oyama v/t","2026-02-07","16:15","ISUZU","ISUZU ELF","2011","NLR85AN","ﾚｲｿﾞｳﾚｲﾄｳ","F5","3000","OTHER","346000","0","0","280000","#ff9c33"
"4566","arai aa oyama v/t","2026-02-07","16:15","HINO","HINO RANGER","2012","FE7JKAA","Gila","F6","6400","OTHER","564000","3","0","0","#000000"
"4529","arai aa oyama v/t","2026-02-07","16:15","ISUZU","ISUZU GIGA","2015","CYJ77A","ALUMINIUM WING","..S","9830","ACTUAL VEHICLE","932000","3.5","0","1938000","#73aa00"
"4527","arai aa oyama v/t","2026-02-07","16:14","MITSUBISHI","MITSUBISHI SUPER GREAT","2000","FT50JLX","ﾀﾝｸ","F6","12880","WHITE","3","","0","0","#000000"
"1827","arai aa oyama v/t","2026-02-07","16:14","MITSUBISHI","MITSUBISHI CANTER","2006","FE73DB","Gila","I5","4900","OTHER","86000","3","0","525000","#eed649"
"1832","arai aa oyama v/t","2026-02-07","16:14","ISUZU","ISUZU ELF","2006","NKR81A","Gila","ﾄｸS","4770","OTHER","182000","R","0","410000","#51b0df"
"4557","arai aa oyama v/t","2026-02-07","16:14","NISSAN","NISSAN QUON","2012","GK5XAB","Tractor","ﾄｸS","10830","OTHER","612000","R","0","0","#000000"
"82166","arai aa oyama v/t","2026-02-07","16:13","ISUZU","ISUZU ELF","2007","NJR85A","Gila","ﾄｸS","2990","OTHER","0","","0","0","#000000"
"1861","arai aa oyama v/t","2026-02-07","16:13","NISSAN","NISSAN ATLAS","2012","TZ2F24","Gila","F6","2950","OTHER","147000","3.5","0","0","#000000"
"82151","arai aa oyama v/t","2026-02-07","16:13","ISUZU","ISUZU ELF","2010","NHR85A","WCab","ﾄｸS","3000","OTHER","272000","0","0","295000","#ff9c33"
"4553","arai aa oyama v/t","2026-02-07","16:12","NISSAN","NISSAN QUON","2015","GK5XAB","Tractor","ﾄｸS","10830","OTHER","3","","0","0","#000000"
"1823","arai aa oyama v/t","2026-02-07","16:12","ISUZU","ISUZU ELF","2012","NPR85AN","ﾚｲｿﾞｳﾚｲﾄｳ","F6","2990","OTHER","3","","0","972000","#73aa00"
"1856","arai aa oyama v/t","2026-02-07","16:12","NISSAN","NISSAN OTHER","1992","PGJC22","Gila","F5","1500","OTHER","54000","3.5","0","0","#000000"
"1821","arai aa oyama v/t","2026-02-07","16:12","MAZDA","MAZDA TITAN","1991","WGLAD","Dump","F5","3450","OTHER","79000","R","0","950000","#eed649"
"82153","arai aa oyama v/t","2026-02-07","16:12","NISSAN","NISSAN TRUCK","2003","SR8F23","Gila","F5","3150","OTHER","298000","0","0","0","#000000"
"1828","arai aa oyama v/t","2026-02-07","16:12","ISUZU","ISUZU ELF","2019","NPR88N","Panel Van","ﾄｸS","2990","OTHER","676000","3","0","1042000","#51b0df"
"82154","arai aa oyama v/t","2026-02-07","16:12","MITSUBISHI","MITSUBISHI CANTER","2013","FEB90","Gila","I6","30000","OTHER","770000","0","0","731000","#51b0df"
"4523","arai aa oyama v/t","2026-02-07","16:12","MITSUBISHI","MITSUBISHI SUPER GREAT","2016","FU64VZ","Aluminum ｳｲﾝｸﾞ","ﾄｸS","12800","OTHER","912000","3","0","1945000","#51b0df"
"82160","arai aa oyama v/t","2026-02-07","16:11","ISUZU","ISUZU ELF","2018","NKR85AD","Dump","ﾄｸS","2990","OTHER","64000","0","0","0","#000000"
"82150","arai aa oyama v/t","2026-02-07","16:11","TOYOTA","TOYOTA DYNA","2004","XZU301E","ﾀﾝｸ","F5","4890","OTHER","150000","0","0","0","#000000"
"1826","arai aa oyama v/t","2026-02-07","16:11","MAZDA","MAZDA TITAN","1991","WGLAN","Dump","F5","3450","OTHER","172000","R","0","1795000","#ff9c33"
"82152","arai aa oyama v/t","2026-02-07","16:11","MITSUBISHI","MITSUBISHI CANTER","2002","FE63ECY","ﾊﾞ Key ｭ-ﾑ","F6","5240","OTHER","372000","0","0","0","#000000"
"1855","arai aa oyama v/t","2026-02-07","16:11","TOYOTA","TOYOTA DYNA","1997","BU107","WCab","FAT","4100","OTHER","420000","3","0","0","#000000"
"4548","arai aa oyama v/t","2026-02-07","16:11","MITSUBISHI","MITSUBISHI SUPER GREAT","2003","FS54JVZ","Gila . Aluminum B","F7","12880","OTHER","449000","3","0","1250000","#ff9c33"
"4551","arai aa oyama v/t","2026-02-07","16:11","NISSAN","NISSAN TRUCK","2001","CW55XHUD","Dump","F7","21200","OTHER","480000","R","0","0","#000000"
"1824","arai aa oyama v/t","2026-02-07","16:10","MITSUBISHI","MITSUBISHI CANTER","2000","FE63DGX","Low -ﾀﾞ","F6","4900","OTHER","257000","RB","0","0","#000000"
"82158","arai aa oyama v/t","2026-02-07","16:10","ISUZU","ISUZU ELF","2013","NJR85A","Gila","MT","3000","OTHER","257000","1","0","380000","#ff9c33"
"1817","arai aa oyama v/t","2026-02-07","16:10","MITSUBISHI","MITSUBISHI CANTER","2016","FEB50","ｼｬ-ｼ","MT","3000","OTHER","458000","3","0","619000","#73aa00"
"82149","arai aa oyama v/t","2026-02-07","16:10","MITSUBISHI","MITSUBISHI CANTER","2016","FEB50","Aluminum Van","MT","2990","OTHER","468000","0","0","310000","#51b0df"
"4549","arai aa oyama v/t","2026-02-07","16:10","HINO","HINO PROFIA","2008","GN1APYA","ﾀﾝｸ","F7","8860","OTHER","859000","3","0","0","#000000"
"4544","arai aa oyama v/t","2026-02-07","16:09","MITSUBISHI","MITSUBISHI SUPER GREAT","2007","FU54JZ","Aluminum ｳｲﾝｸﾞ","F7","12880","OTHER","23000","R","0","0","#000000"
"1820","arai aa oyama v/t","2026-02-07","16:09","ISUZU","ISUZU ELF","2015","NHR85AN","Gila","ﾄｸS","3000","OTHER","59000","R","0","0","#000000"
"1815","arai aa oyama v/t","2026-02-07","16:09","MITSUBISHI","MITSUBISHI CANTER","1995","FE638F","Gila","F6","4560","OTHER","61000","3.5","0","0","#000000"
"82143","arai aa oyama v/t","2026-02-07","16:09","ISUZU","ISUZU ELF","2016","NKR85AD","Dump","MT","2990","OTHER","67000","0","0","0","#000000"
"1822","arai aa oyama v/t","2026-02-07","16:09","ISUZU","ISUZU ELF","2007","NHS69AN","Van","FAT","3050","OTHER","261000","3.5","0","0","#000000"
"82147","arai aa oyama v/t","2026-02-07","16:09","MITSUBISHI","MITSUBISHI CANTER","1991","FE317BD","Dump","F5","4210","OTHER","272000","0","0","0","#000000"
"82156","arai aa oyama v/t","2026-02-07","16:09","ISUZU","ISUZU ELF","2006","NPR81AR","Gila","F6","4770","OTHER","337000","0","0","450000","#ff9c33"
"82146","arai aa oyama v/t","2026-02-07","16:09","MITSUBISHI","MITSUBISHI CANTER","1995","FE649E","Gila . Aluminum B","F6","3900","OTHER","466000","0","0","0","#000000"
"4556","arai aa oyama v/t","2026-02-07","16:09","HINO","HINO RANGER","2009","FG8JMWA","ﾚｲｿﾞｳﾚｲﾄｳ","F6","7680","OTHER","635000","2","0","0","#000000"
"4517","arai aa oyama v/t","2026-02-07","16:09","ISUZU","ISUZU GIGA","2011","CXZ77AT","DUMP","F7","9830","ACTUAL VEHICLE","851000","3","0","0","#000000"
"1846","arai aa oyama v/t","2026-02-07","16:08","TOYOTA","TOYOTA OTHER","1988","LH85","Gila","F5","2440","OTHER","36000","3.5","0","0","#000000"
"1818","arai aa oyama v/t","2026-02-07","16:08","ISUZU","ISUZU ELF","2003","NKR81ED","Dump","F5","4770","OTHER","95000","3.5","0","975000","#ff9c33"
"1813","arai aa oyama v/t","2026-02-07","16:08","ISUZU","ISUZU ELF","2009","NMR85N","ﾚｲｿﾞｳﾚｲﾄｳ","ﾄｸS","2990","OTHER","190000","B","0","0","#000000"
"82144","arai aa oyama v/t","2026-02-07","16:08","MAZDA","MAZDA TITAN","2014","LHR85A","Gila","F5","2990","OTHER","247000","0","0","0","#000000"
"82145","arai aa oyama v/t","2026-02-07","16:08","MITSUBISHI","MITSUBISHI CANTER","2004","FE70EB","Gila . Aluminum B","I5","5240","OTHER","547000","0","0","285000","#eed649"
"1847","arai aa oyama v/t","2026-02-07","16:07","HINO","HINO DUTRO","2012","XZU620T","Dump","MT","4000","OTHER","105000","3.5","0","1836000","#eed649"
"82142","arai aa oyama v/t","2026-02-07","16:07","MITSUBISHI","MITSUBISHI CANTER","2011","FBA60","Dump","ﾄｸS","2990","OTHER","144000","0","0","525000","#ff9c33"
"4552","arai aa oyama v/t","2026-02-07","16:07","HINO","HINO TRUCK","2010","FS1AKXA","ﾐ Key ｻ","F7","8860","OTHER","186000","3.5","0","0","#000000"
"4540","arai aa oyama v/t","2026-02-07","16:07","MITSUBISHI","MITSUBISHI SUPER GREAT","1999","FV502UZ","Aluminum ｳｲﾝｸﾞ","F7","0","OTHER","266000","RB","0","1610000","#eed649"
"1816","arai aa oyama v/t","2026-02-07","16:07","ISUZU","ISUZU ELF","2013","NJS85A","Gila","F5","2990","OTHER","339000","3","0","0","#000000"
"1811","arai aa oyama v/t","2026-02-07","16:07","ISUZU","ISUZU ELF","2011","NJS85A","Gila","F5","2990","OTHER","391000","3","0","0","#000000"
"4491","arai aa oyama v/t","2026-02-07","16:07","ISUZU","ISUZU TRUCK","2006","CXZ51K6","ﾐ Key ｻ","F7","9830","OTHER","485000","3","0","1414000","#51b0df"
"4515","arai aa oyama v/t","2026-02-07","16:07","ISUZU","ISUZU GIGA","2007","EXZ52J6","TRACTOR HEAD","HL8","15680","ACTUAL VEHICLE","650000","3","0","0","#000000"
"1845","arai aa oyama v/t","2026-02-07","16:06","TOYOTA","TOYOTA TOYOACE","2017","XZC605","Gila","FAT","4000","OTHER","34000","R","0","0","#000000"
"1843","arai aa oyama v/t","2026-02-07","16:06","HINO","HINO DUTRO","2010","XZU424M","ｺｳｼｮｻ Key ﾞｮｳ","F6","4000","OTHER","42000","R","0","0","#000000"
"62057","arai aa oyama v/t","2026-02-07","16:06","ISUZU","ISUZU ELF","2006","NKR81AN","ﾚｯｶ","F5","4770","OTHER","67000","3.5","0","1047000","#51b0df"
"1807","arai aa oyama v/t","2026-02-07","16:06","ISUZU","ISUZU ELF","2006","NPR81AR","Gila .ﾎ Low","F6","4770","OTHER","228000","R","0","0","#000000"
"62059","arai aa oyama v/t","2026-02-07","16:06","ISUZU","ISUZU ELF","2007","NJR85A","Gila","F5","3000","WHITE","288000","3.5","0","417000","#73aa00"
"82141","arai aa oyama v/t","2026-02-07","16:06","MITSUBISHI","MITSUBISHI CANTER","2005","FD70BB","Gila","MT","3000","OTHER","306000","0","0","0","#000000"
"82140","arai aa oyama v/t","2026-02-07","16:06","TOYOTA","TOYOTA DYNA","2004","XZU351D","Dump","FAT","4890","OTHER","426000","R","0","402000","#eed649"
"4550","arai aa oyama v/t","2026-02-07","16:06","NISSAN","NISSAN UD SERIES","2012","CW5ZL","Dump","F7","10830","OTHER","783000","3","0","4785000","#ff9c33"
"82139","arai aa oyama v/t","2026-02-07","16:06","NISSAN","NISSAN CONDOR","2015","MK38L","Gila . Crane","F6","4670","","797000","0","0","0","#000000"
"4543","arai aa oyama v/t","2026-02-07","16:06","NISSAN","NISSAN UD SERIES","2017","GK5XAD","Tractor","ﾄｸS","10830","OTHER","799000","3","0","0","#000000"
"1814","arai aa oyama v/t","2026-02-07","16:06","MITSUBISHI","MITSUBISHI CANTER","2007","FE73DEY","Gila . Crane 4 Dan","I5","4900","OTHER","915000","3","0","0","#000000"
"82137","arai aa oyama v/t","2026-02-07","16:05","HINO","HINO PROFIA","2016","SH1EDDG","Tractor","F7","12910","OTHER","0","","0","2310000","#ff9c33"
"59004","arai aa oyama v/t","2026-02-07","16:05","MAZDA","MAZDA TITAN","2012","LHS85A","WCab PG","F5","2990","WHITE","29000","R","0","0","#000000"
"1812","arai aa oyama v/t","2026-02-07","16:05","MITSUBISHI","MITSUBISHI CANTER","2004","FB700B","Gila","I5","2000","OTHER","125000","3.5","0","449000","#51b0df"
"1841","arai aa oyama v/t","2026-02-07","16:05","NISSAN","NISSAN ATLAS","2003","SH2F23","Gila","F5","2000","WHITE","162000","3","0","156000","#ff9c33"
"82148","arai aa oyama v/t","2026-02-07","16:05","ISUZU","ISUZU ELF","","S","UZU ELF
0 NPR88AN","ﾄｸS","0","OTHER","240000","0","0","0","#000000"
"1840","arai aa oyama v/t","2026-02-07","16:05","HINO","HINO DUTRO","2004","XZU368M","Gila .ﾎ Low","F5","4000","OTHER","241000","3","0","0","#000000"
"4511","arai aa oyama v/t","2026-02-07","16:05","MITSUBISHI","MITSUBISHI FUSO FIGHTER","2019","FQ62F","ｶﾁｸｳﾝﾊﾟﾝｼｬ","F6","7540","OTHER","515000","3.5","0","0","#000000"
"82138","arai aa oyama v/t","2026-02-07","16:05","MITSUBISHI","MITSUBISHI SUPER GREAT","2015","FP64VDR","Tractor","F7","12800","OTHER","822000","0","0","0","#000000"
"82135","arai aa oyama v/t","2026-02-07","16:04","MITSUBISHI","MITSUBISHI SUPER GREAT","2015","FS64VZ","ｼｬ-ｼ","ﾄｸS","12800","OTHER","0","","0","1025000","#ff9c33"
"59003","arai aa oyama v/t","2026-02-07","16:04","MITSUBISHI","MITSUBISHI CANTER","2014","FBA20","Panel Van","I5","3000","WHITE","100000","R","0","348000","#ff9c33"
"4539","arai aa oyama v/t","2026-02-07","16:04","HINO","HINO PROFIA","2004","FW1EXWJ","ｼｬ-ｼ","ﾄｸS","13000","OTHER","301000","3","0","835000","#ff9c33"
"82136","arai aa oyama v/t","2026-02-07","16:04","HINO","HINO TRUCK","2006","SH1EDJG","Tractor","F7","12910","OTHER","409000","0","0","0","#000000"
"4546","arai aa oyama v/t","2026-02-07","16:04","NISSAN","NISSAN TRUCK","2001","CW55XUD","Dump","F7","21220","OTHER","871000","R","0","0","#000000"
"4509","arai aa oyama v/t","2026-02-07","16:04","MITSUBISHI","MITSUBISHI SUPER GREAT","2014","FP54VDR","Tractor -ｾｯﾄｾﾐﾄﾚ-ﾗ","F7","12800","OTHER","989000","R","0","1643000","#eed649"
"4537","arai aa oyama v/t","2026-02-07","16:03","HINO","HINO PROFIA","2017","SH1EDDG","Tractor","F7","12910","OTHER","0","","0","2975000","#ff9c33"
"82134","arai aa oyama v/t","2026-02-07","16:03","NISSAN","NISSAN BIGTHUMB","2005","CD48A","ﾀﾝｸ","MT","13070","OTHER","0","","0","0","#000000"
"82133","arai aa oyama v/t","2026-02-07","16:03","HINO","HINO PROFIA","1994","FS1FKBD","Dump","F6","16740","OTHER","105000","0","0","0","#000000"
"1806","arai aa oyama v/t","2026-02-07","16:03","ISUZU","ISUZU ELF","2000","NHS69EA","WCab","F5","0","WHITE","186000","R","0","575000","#ff9c33"
"59001","arai aa oyama v/t","2026-02-07","16:03","MITSUBISHI","MITSUBISHI CANTER","2013","FEB80","Panel Van","ﾄｸS","3000","WHITE","231000","2","0","1675000","#ff9c33"
"1834","arai aa oyama v/t","2026-02-07","16:03","TOYOTA","TOYOTA TOYOACE","2016","XZC655","Gila .ﾎ Low","FAT","4000","OTHER","244000","3.5","0","730000","#ff9c33"
"1836","arai aa oyama v/t","2026-02-07","16:03","HINO","HINO DUTRO","2011","XZU308M","WCab . Crane","AT","4000","OTHER","281000","3","0","0","#000000"
"1808","arai aa oyama v/t","2026-02-07","16:03","MITSUBISHI","MITSUBISHI CANTER","2006","FE73DB","Aluminum Van","I5","4890","OTHER","526000","3","0","662000","#73aa00"
"82131","arai aa oyama v/t","2026-02-07","16:02","MITSUBISHI","MITSUBISHI FUSO FIGHTER","2011","FQ62F","ｼｬ-ｼ","F6","7540","OTHER","0","","0","710000","#ff9c33"
"48004","arai aa oyama v/t","2026-02-07","16:02","MITSUBISHI","MITSUBISHI ROSA","2016","BE640G","ﾊﾞｽ","ﾄｸS","3000","OTHER","105000","3.5","0","2030000","#ff9c33"
"82132","arai aa oyama v/t","2026-02-07","16:02","NISSAN","NISSAN TRUCK","1999","CK521EHTｶｲ","Tractor","MT","17990","OTHER","248000","0","0","0","#000000"
"1804","arai aa oyama v/t","2026-02-07","16:02","ISUZU","ISUZU ELF","2005","NKR81AN","Aluminum Van","F5","4770","OTHER","382000","3","0","502000","#73aa00"
"4532","arai aa oyama v/t","2026-02-07","16:02","ISUZU","ISUZU GIGA","2006","CYY77V6J","COMMON. ALUMINIUM B","F7","9830","ACTUAL VEHICLE","439000","2","0","0","#000000"
"1830","arai aa oyama v/t","2026-02-07","16:01","HINO","HINO DUTRO","2001","XZU350E","ｺｳｼｮｻ Key ﾞｮｳ","F5","5300","OTHER","231000","3","0","0","#000000"
"1802","arai aa oyama v/t","2026-02-07","16:01","ISUZU","ISUZU ELF","2015","NPR85AN","ﾚｲﾄｳ","6ｿｸ","2990","OTHER","366000","3.5","0","1367000","#73aa00"
"4542","arai aa oyama v/t","2026-02-07","16:01","HINO","HINO TRUCK","2006","FR1EXYG","ｼｬ-ｼ","F7","12910","OTHER","485000","R","0","0","#000000"
"82129","arai aa oyama v/t","2026-02-07","16:01","MITSUBISHI","MITSUBISHI FUSO FIGHTER","2017","FK72FY","","F6","7540","WHITE","536000","0","0","0","#000000"
"82128","arai aa oyama v/t","2026-02-07","16:01","HINO","HINO RANGER","2018","FD2ABG","ﾚｲｿﾞｳﾚｲﾄｳ","F6","5120","OTHER","931000","0","0","1385000","#ff9c33"
"1800","arai aa oyama v/t","2026-02-07","16:00","MITSUBISHI","MITSUBISHI CANTER","2002","FE53EB","ﾎｳｿｳﾁｭｳｹｲｼｬ","F5","5240","OTHER","57000","3.5","0","410000","#ff9c33"
"82126","arai aa oyama v/t","2026-02-07","16:00","MITSUBISHI","MITSUBISHI FUSO FIGHTER","2008","FK71R","ｼﾞﾝ Key","F6","4890","OTHER","318000","0","0","0","#000000"
"1831","arai aa oyama v/t","2026-02-07","16:00","NISSAN","NISSAN ATLAS","2008","APR85AR","Gila","F6","2990","OTHER","518000","3","0","0","#000000"
"82127","arai aa oyama v/t","2026-02-07","16:00","HINO","HINO RANGER","2005","FE7JGWA","ｼｬ-ｼ","F6","6400","OTHER","810000","0","0","0","#000000"
"4528","arai aa oyama v/t","2026-02-07","16:00","ISUZU","ISUZU GIGA","2009","CXZ77K8","DUMP","F7","9830","ACTUAL VEHICLE","933000","2","0","0","#000000"
"4526","arai aa oyama v/t","2026-02-07","15:59","MITSUBISHI","MITSUBISHI SUPER GREAT","2012","FU54VZ","Aluminum ｳｲﾝｸﾞ","F7","12800","OTHER","3","","0","1287000","#51b0df"
"4501","arai aa oyama v/t","2026-02-07","15:59","ISUZU","ISUZU GIGA","2006","EXD52G6","TRACTOR SET JET TANKER SEMI TO","F7","15680","ACTUAL VEHICLE","35","","0","0","#000000"
"65005","arai aa oyama v/t","2026-02-07","15:59","NISSAN","NISSAN ATLAS","2003","SH2F23","Gila","F5","1990","WHITE","33000","0","0","0","#000000"
"1791","arai aa oyama v/t","2026-02-07","15:59","MITSUBISHI","MITSUBISHI CANTER","1990","FE437F","ｾ Key ｻｲ. Crane 3 Dan","F5","4210","WHITE","96000","B","0","0","#000000"
"82124","arai aa oyama v/t","2026-02-07","15:59","HINO","HINO RANGER","2008","FD7JEWA","ｼﾞﾝ Key","MT","6400","OTHER","237000","0","0","0","#000000"
"82125","arai aa oyama v/t","2026-02-07","15:59","HINO","HINO RANGER","2007","FD7JLWA","Aluminum ｳｲﾝｸﾞ","F6","6400","WHITE","740000","0","0","795000","#eed649"
"4538","arai aa oyama v/t","2026-02-07","15:59","HINO","HINO PROFIA","2017","SH1EDDG","Tractor","ﾄｸS","12910","OTHER","961000","3.5","0","1773000","#eed649"
"1825","arai aa oyama v/t","2026-02-07","15:58","HINO","HINO DUTRO","2011","XZU344M","Gila . Crane 4 Dan","F6","4000","OTHER","94000","3","0","1299000","#ff9c33"
"1789","arai aa oyama v/t","2026-02-07","15:58","MAZDA","MAZDA TITAN","1990","WGLAFｶｲ","","F5","3450","OTHER","124000","2","0","0","#000000"
"4524","arai aa oyama v/t","2026-02-07","15:58","ISUZU","ISUZU GIGA","2015","CYJ77A","ALUMINIUM WING","F7","9830","ACTUAL VEHICLE","216000","3","0","1555000","#73aa00"
"82123","arai aa oyama v/t","2026-02-07","15:58","MITSUBISHI","MITSUBISHI MINIYON","1998","FH228G","ｺﾝﾃﾅｾﾝﾖｳ","F6","8200","OTHER","218000","0","0","0","#000000"
"82122","arai aa oyama v/t","2026-02-07","15:58","HINO","HINO RANGER","2006","FE7JLWA","Gila","F6","6400","OTHER","457000","0","0","0","#000000"
"4536","arai aa oyama v/t","2026-02-07","15:58","NISSAN","NISSAN BIGTHUMB","2004","CW542GHT","Tractor","ﾄｸS","16990","SPECIFIED COLOR","629000","3.5","0","0","#000000"
"4499","arai aa oyama v/t","2026-02-07","15:58","ISUZU","ISUZU GIGA","2007","CXZ77K8","DUMP","F7","9830","ACTUAL VEHICLE","710000","R","0","0","#000000"
"82119","arai aa oyama v/t","2026-02-07","15:57","HINO","HINO PROFIA","2017","FW1EXEJ","ｼｬ-ｼ","F7","12910","WHITE","0","","0","0","#000000"
"1787","arai aa oyama v/t","2026-02-07","15:57","MITSUBISHI","MITSUBISHI CANTER","2012","FBA20","Aluminum Van","ﾄｸS","3000","WHITE","106000","3","0","0","#000000"
"65001","arai aa oyama v/t","2026-02-07","15:57","MITSUBISHI","MITSUBISHI CANTER","2016","FEA20","Panel Van","ﾄｸS","2990","WHITE","151000","0","0","355000","#ff9c33"
"4534","arai aa oyama v/t","2026-02-07","15:57","NISSAN","NISSAN UD SERIES","2013","CW5XL","Dump","HL6","10830","OTHER","738000","R","0","0","#000000"
"82121","arai aa oyama v/t","2026-02-07","15:57","MITSUBISHI","MITSUBISHI SUPER GREAT","2001","FY50MNY","ｾ Key ｻｲ. Crane 4 Dan","MT","0","OTHER","821000","0","0","0","#000000"
"82120","arai aa oyama v/t","2026-02-07","15:57","NISSAN","NISSAN TRUCK","2008","CW4XL","Dump","F7","13070","OTHER","887000","0","0","0","#000000"
"4525","arai aa oyama v/t","2026-02-07","15:56","HINO","HINO PROFIA","2010","FW1EXYG","Aluminum ｳｲﾝｸﾞ","ﾄｸS","12910","OTHER","3","","0","925000","#eed649"
"62075","arai aa oyama v/t","2026-02-07","15:56","MITSUBISHI","MITSUBISHI SUPER GREAT","2017","FV60VY","Dump","F7","12800","YELLOW","396000","3.5","0","0","#000000"
